2025-10-11 11:21:08 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:21:21 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:23:42 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 11:23:43 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 11:23:43 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:24:08 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 11:24:09 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 11:24:09 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:24:10 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:30:25 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 11:30:25 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 11:30:26 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:30:29 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:30:36 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:33:06 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 11:37:05 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 12:43:03 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 12:43:05 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 12:43:05 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 12:43:24 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:24:09 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 14:24:12 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 14:24:12 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:39:29 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 14:39:31 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 14:39:31 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:49:18 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 14:49:19 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 14:49:19 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:49:22 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:50:31 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 14:50:32 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 14:50:32 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:50:33 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:51:02 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:55:12 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 14:55:13 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 14:55:13 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 14:57:20 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 15:02:00 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 15:02:00 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 15:02:01 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 15:03:07 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 15:08:26 | vectorstore.chroma_client | WARNING | chroma_client.py:201 | No embedding model available for retrieval
2025-10-11 15:08:35 | vectorstore.chroma_client | WARNING | chroma_client.py:201 | No embedding model available for retrieval
2025-10-11 15:22:07 | vectorstore.chroma_client | WARNING | chroma_client.py:201 | No embedding model available for retrieval
2025-10-11 15:36:40 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 15:36:41 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 15:36:42 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 15:38:32 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 16:24:16 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-11 16:24:17 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-11 16:24:17 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-11 16:24:20 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-19 18:43:44 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-19 19:00:19 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-19 19:00:22 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-19 19:00:27 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-19 19:06:44 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-19 19:09:44 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-19 19:12:30 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-19 19:16:18 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-19 19:16:20 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-19 19:16:25 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-19 19:20:25 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-19 19:20:47 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
2025-10-19 19:30:18 | backend.database | INFO | database.py:87 | Database initialized successfully
2025-10-19 19:30:20 | vectorstore.chroma_client | WARNING | chroma_client.py:52 | sentence-transformers not available - embeddings functionality disabled
2025-10-19 19:30:25 | backend.ml_model | INFO | ml_model.py:409 | Model loaded from models/rf_model.joblib, version: 20251011_103502
